id,name,slug,status
7870a751-fde2-41df-9f20-26232d9905d0,"Eclipse",eclipse,
45cf51fa-312b-435b-a9d4-a4f7b71ed8e9,"EEWEE",eewee,
a2fe2201-34f8-4336-a136-37da3218985c,"Eidola",eidola,
9f756d40-838b-4d28-9389-49e9993f70f8,"Eighteen Visions",eighteen-visions,active
49b1704a-ea78-4c1a-b954-b156dfb39e77,"Eli Jackson",eli-jackson,
ee8c3148-8bfa-4390-9903-e595863a17a4,"emme Packer",emme-packer,
83bbc20c-cbe4-432d-b7be-657134877bed,"Endless Struggle",endless-struggle,
63a0a998-d5b2-431c-a013-de2617276efe,"English Budgies",english-budgies,
360d269b-8670-43dc-b319-89e1a7d7b988,"Establish",establish,
1276d54f-9cbe-4cd3-8ea1-cdcaa4eee0a5,"Ether",ether,
2d0857e2-61fd-4c74-9d4a-60957ae7511e,"Ether Orchestra",ether-orchestra,
22270a94-f89e-491b-abaf-4fce16013ddc,"Exes",exes,active
58fe4d62-ce43-4993-a8aa-c2b8d8100305,"Extortionist",extortionist,
66b88afe-e9e6-4965-81eb-495be0c384f8,"Eyes of Eva",eyes-of-eva,
29ae7c4b-d7db-44d9-a793-9020ae879daf,"EZher",ezher,
d9dafd12-72ab-404a-b0da-ec8564be7968,"Fahrenheit 451",fahrenheit-451,active
210cb5a2-f652-42ea-b5b7-ffe34eba4416,"Fake Nice",fake-nice,
bdc43fa0-a46a-457f-aadf-ed311e60cd0b,"Fale",fale,active
0dc11833-5969-47fd-bd76-860912f6ce26,"Falling In Reverse",falling-in-reverse,active
a9716df4-fc8d-4b51-8336-069709832735,"Fancy Ladz",fancy-ladz,
bc619f43-e990-437f-9afc-b8deb2a261fd,"Fever Dreams",fever-dreams,
3e6e4d28-fb53-491a-b0bc-5dcd82dd825f,"Fever Dreams",fever-dreams-2,
8367146e-7fc5-40a9-9d49-1c68f6f1f25a,"Fews & Twos",fews-and-twos,
fe9ac4c6-1e30-4108-b6c3-de88ebbab3d2,"Fictionist",fictionist,
32d8168c-91d0-48ec-9b09-782ccbdbe0cc,"Filth Lords",filth-lords,
829bbc2c-2616-4d8e-bfb4-e9ec9c69c43b,"Flamingo",flamingo,
2cca8639-9bbd-4e15-b9cb-285aaccb8186,"Folk Hogan",folk-hogan,
bf13ed81-336c-43a4-bd68-f84998683cfc,"Forget Tomorrow",forget-tomorrow,
620fcc65-d959-47dd-8a41-34e6d83074d1,"Form of Rocket",form-of-rocket,
3380919d-28ff-41f8-a7cd-a4b629adb186,"Fossil Arms",fossil-arms,active
d6ab0788-64cf-49b6-b91a-bb3e16a1be61,"Fox Van Cleef",fox-van-cleef,
9404fdf0-4518-47ca-ba37-6fecbb1df549,"FOXTIDE",foxtide,
fd8e3a46-6daf-438b-9e70-79c01faaecb3,"Freakbreed",freakbreed,active
8fbf93fb-1394-4174-89bd-fd4c86b83341,"Fumamos",fumamos,active
25fd1bdd-8891-4f44-9450-5ff97f6413d1,"Funk and Gonzo",funk-and-gonzo,active
f4bcf6e8-be63-4710-92da-6c9123e8bb8b,"Furious Fire",furious-fire,active
846d8af5-d69f-4034-8be5-2bb04d7eba72,"future.exboyfriend",future-exboyfriend,
da7452d3-1fed-4ba0-967c-da24ad84b857,"Gaza",gaza,
0444f579-24f6-41c7-9c5b-52c2cf78a89a,"Gerald Music",gerald-music,active
39c782cc-cfb2-42e7-a4ab-8ac8f6fdd1b2,"GHOSTOWNE",ghostowne,active
8a53755e-6243-40cc-a9b5-95ab63087716,"Glinting Gems",glinting-gems,
027ac6b8-e27d-4e53-8b32-b94cb5e51dcb,"Go Metric",go-metric,
9e8fa14c-fd9e-4992-9488-f83a682cd41a,"Good as Gone",good-as-gone,
bd0d45b2-b376-4fb9-8254-15b0a97163d1,"Graveljaw Keaton",graveljaw-keaton,
3873ff88-de4a-4f06-b1df-1d6e1d4506d2,"Graveyard Violet",graveyard-violet,active
6951c6fa-8ee5-4a3f-9100-65ce7b5d3200,"GRGL",grgl,
d0c00959-f4f6-48e8-a0f1-eada665f4d82,"Guava Tree",guava-tree,
91561a78-0ff8-475c-a9f9-1b3019673155,"Gypsy Cab",gypsy-cab,active
a6b18eb3-3597-48ab-9cbb-79bbb20448ad,"Hammergun",hammergun,active
ac00917a-bea4-4841-ac93-3005ea99f09e,"Handicapitalist",handicapitalist,
65ffcfd3-4246-4181-a9b3-b73ae1568b7f,"Harbor Patrol",harbor-patrol,
4b5dc318-b975-4f20-8695-2faef98e78b8,"Hawker Roam",hawker-roam,
870bfec7-2b5a-4b63-8434-d5cb8efb34b7,"Health Care",health-care,
1780a047-a783-46ae-8b85-004fbab864c2,"Heathen Ass Worship",heathen-ass-worship,
7e04643b-a296-4d62-97dc-54e02c3f52ed,"Hello Amsterdam",hello-amsterdam,active
96cfa226-241b-4a5c-980e-4e86dfcdeb95,"Hemlock",hemlock,
