entity_type,identifier,count,sample_url
facebook_page,1024924842,4,https://www.facebook.com/1024924842/videos/pcb.10231442104208845/531354156031722?__cft__[0]=AZbtBTivoUXHfMO3IqxQZGZujV2KUXyiv-JvzWBtwfzMGjNtPUblDW_WlYsG2Wb-9LC5W2QFAaNUJThZOqVezuqVh_UMj-I-gGZHpUDynFr2ZmXAfvKEngdiNhnzajRFXQvXhW9_FRZJQYqIZot9gVv2HhOtAQ89HCnQURYXXvRTGGdmrp4YITbeKkfTcaNAzNPDU6m0NINr83tkudbQagDqb0BZzJ2UQSa_ZdY3vcHaNA&__tn__=*b0HH-R
facebook_page,rory.childs,4,https://www.facebook.com/rory.childs?__cft__[0]=AZaqQWpW40k4Q4OVGpUZRa-xnLq-IT3YmWsS4-DY0rf2j8XW4ZXPjHK0K5Sq4-Ni9bAVlGNV_H8LXBtEgLueW9XPuETEXrP_iyKLlfLAQBCn75knutQh-dKVpiiNPLYW4B1G4yllGtBGxTq4i0qm3hWukFfTrTOLCaGP2ns11T_y-qhGb1MPeemkr9Ch1Jm_Olj4SUwbuhI3osM63hakEKlOupuWziWtwQAmDfjP0dEq7w&__cft__[1]=AZbz63mP8e6YkCaSf3QT8DVpd_osLumOKXqtGYt9o7Y43o9rzEIDl_TmdoJzSZNyDeET-DadmC7lCe6gP03-Jixv2KXAj46DSZC7IIum3bg9mWMAIXKVV6mdJlVx3TCOjOJzoPdb0EuNNvimO1240hGoj4O65HCtzG18Nz-F4nve2aBLGp-er1za1M4PASeZ1wlGUuTWT-RHF26_psG4cKxi&__tn__=H-R
facebook_event,880981671003675,4,https://www.facebook.com/events/880981671003675/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22home%22%7D%2C%7B%22mechanism%22%3A%22attachment%22%2C%22surface%22%3A%22newsfeed%22%7D]%2C%22ref_notif_type%22%3Anull%7D&__cft__[0]=AZZSDNSENt9Zy2Fq-52oGTvvvWtMQWmo3y6E2yMTbn09MF6eVEOFqe-AgoG4EmMTTgLZHUzcNWGrtrZZmhBe4jpAnHBhMJa-KZlG3LbNbOMNkFdNcK3BSlYj8C4Dpzsp3YPnT1JInzJ22xz0pSRjzHgRXUC7wHgtvtbHAJDKplj_bEj-hKFFCeYGVB-za1bqO_bxDF63xW0quPJo0wawsbTI&__tn__=H-R
facebook_page,carlie.wall,4,https://www.facebook.com/carlie.wall?__cft__[0]=AZbm9kUNnZDy1t0V0JInCPLFcVEmHKXw5sUBkJgvvhDT7Pxs-XrCMRv3QgmGmepLyWB67fCr7MvujH29fHNGuq7vJAeLyXFb1_akCvqybmJr4h2Bq9tW5I7G9I0wBnmGHW5so2gwpErcQ88L603L9KIH7Mk9zd57EOY3WeCs5pW6l5d8dNKuqscnVa3ZQs_rIb5NPiJ_R9XQp5-kX_k5zB5ntuvV340Qphj9oSmJiYj_tA&__cft__[1]=AZaFKtmxUeSHUKqGOJbOnGLK0jBxv5wAfnoHxLNMDGVV53Q6OytRJratnpDuAKZHso6nV1l87XgPHgIQMEqjbZGM23Sgd5jJWNT9cSyZ94q4opneZO5UM7nhwBoA2b6UfShBpfSp7odFwHquoeb17OKq-MY7Inspv5zj96ECYO0gg6He_-bHn7JArBmENWNim1J0vwgvUoEXVYwczYSfpao4&__tn__=H-R
facebook_event,891895186503371,4,https://www.facebook.com/events/891895186503371/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22home%22%7D%2C%7B%22mechanism%22%3A%22attachment%22%2C%22surface%22%3A%22newsfeed%22%7D]%2C%22ref_notif_type%22%3Anull%7D&__cft__[0]=AZY-aR09clTU6e4GZM2mAPH3Y6f-Wm1rpnilWuL0CYo3owDLM0dgBv5cV19N71XKQFLGlA5lHUyF85ldynsVpTQUHRTQv_rj-eCWYlKbfZ3Z4CWCfg-jeUfx0qw-DWjOCdyR-zVdU1A5sFn_7r6E7UFeau0oe5baNa1bVP2bZe4uuQOaZiZRSDgxSyvGyUlazbDAhwWc16ad4elWGTPZ7N4m&__tn__=H-R
social,youtube_video:lGSXdBjVoZI,4,https://youtu.be/lGSXdBjVoZI?si=oeGjj7nwrf3j7xsV](https://youtu.be/lGSXdBjVoZI?si=oeGjj7nwrf3j7xsV&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExdVBDdFJuTk1wYzh0blM1WnNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR6J99ylfmFe-s_CpBoLI8o1i77SQ7gzurs2YLF58b2YVAJWSF0o6jHIsgeaGQ_aem_edl6kffRoV9_wZ0tN7jHDA)](https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2FlGSXdBjVoZI%3Fsi%3DoeGjj7nwrf3j7xsV%26fbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExdVBDdFJuTk1wYzh0blM1WnNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR40RHf7JADWYtbZQeLkIq6uHU4GYFWGib9UGe_Z7noANPPos4cRzgLT2Dug0A_aem_MMHZVzSDNRK96MOc9OOFOA&h=AT1JuC1EmTIyuY_heAUbDcGqnFT7vix1Ssp2hDYyC37g_y6LusWCGiBpsLj25EY9i0r_fjy9Oj5-onHjLNuZHbHDAx2d-lovJVBWjiU8BD5oc8vX3T1fqYbPEruK4Ystgg&__tn__=-UK-R&c[0]=AT15DdvgiYtYsFhuXY7cU4huLv7BYJrn9FoYglbRWnDSKli3rwsA1NxX_65Aays354D9K7EI3EmuJicmZUOiJS0KkmtS6-StH5TVHs7QUU8kLauplnxmK32F-u6zxfOeV7w-nVZLhQa-hqxpqzzjsHyv6-afLSnGsSmdvEiIeTa7KjCtbck)
facebook_page,sethbonnell,4,https://www.facebook.com/sethbonnell?__cft__[0]=AZZv7x-O-jYsW1bmI0Wj5FHEu-YIkK5MRcKRmW0aGis76XQ2w9PDFLg8iS9GpNz65X1ldyfN1SPXnsRKiBKEPURdB_84endGZsT8pD0DXwJBRUkSwzlUsM8X7XducEoEIeyRBrJgKXAGCb0dMpkW2FfLziywslRIydjr91Pjuy4m1t_5TERqtmOrm23Vy-3V3jX5Wsfd4HNBbKEQqYy3hvCtMgkAhvgjN4K24aGoedIIQw&__cft__[1]=AZY52WMQyDtxNn5mBCc67JN89dXpFnfXdp5aoQdxc2D3w5K1ZL1ZiCD2fYBqeJ_MgcRUc-mrKic39cDdBG5iJp7n1Myq6gt78i5JejGFJg1e0R7YsBmqVATfbgNhyUNb0KIXUuwRPtEfoh31-B9L704UVtaIuX4xMLMPl0fykbq88DBijRdzV63KhDvPKl4SvSvkSFWJSSUV14LVhuzXjiDn&__tn__=H-R
facebook_page,cynthia.green.10,4,https://www.facebook.com/cynthia.green.10?__cft__[0]=AZak4SNHqdTTYppu_8F3twv9ksa2UReNedNt3SETSBU8SOwFt9_fyvGh4N2AfOunbQnYYEyHokh9h7qwu7yxbQ1wctZjbDbaPSLF-G-Ho2he3oIeRCDgxTg4WkUpM3FYLvc02wQ50Ybuzk6QJ4sbEL1Wz640qr29AZUrJkh2NEBYFzkae3twzkNB0uFfKf_JXYtC7lZXc9EB5iib6NVni_u7DaGyk8rBlvbPVsebguoXHg&__tn__=-UC%2CP-y-R
facebook_page,680039607,4,https://www.facebook.com/680039607/videos/pcb.4359193631069405/25775460512072663?__cft__[0]=AZaU1AvSQKSlv-XWF6YWTFTw60A1pAlCG9ik5tFCKZpRGbqrbAIsjKXkUsZ1gRvjB9j7qPdOEghbzhR0XYeKz_zr0fYCe-JhvY70DpB55nqnNYmpGA0MueaIysvazgUc738NmFo2ENlhlaVifrPzx11NIoJ_QTzqufpftnilcqfW6cLSt2osLEaXPzdyvm4rLRFZMUjy6wlX7H_L6mNOClUR&__tn__=*b0H-R
facebook_page,TIERRAMusicOfficial,4,https://www.facebook.com/TIERRAMusicOfficial?__cft__[0]=AZZrOtycz6_K34PiJIWWDnubhv70en_gtw76BM_qubtv9cujGKWqcLiATzb74WR9aSm9kslDC_uMMaXD_zK0YCtAn6gCOE8U9OgXcyqfqHq3nc5n2az5OlhRlKtn54f9fv-6lbSsD7SVKL1OonzQVROdw2oVxus8TTBEkTSh1xpp9vrS5cv-jIh2zVLkKSCLF3VuL-rBqmXBkMUw45XQ4fNiWFQYvp2R667aZndbWLUiIQ&__cft__[1]=AZa9PNbWsJYUtb7srta0kxeuCILRS11BiwSzbjBEq3zqVkVeCWAfpNLHJ4A-7kHXbSGQs6Dt16FJo5CyBMT1kcmbyca30vXYN_yEAXZvtuaB4z7JrRUjaFDVoHmLdJHH7Y-MWKi-orqS-l7Gl16HHuJ7mFisTkrg6WILLytSwcK1vtbaKHwTk1G7hjQSsSUz_znrbkfEYUxvu8lksgca8PKW&__tn__=H-R
facebook_event,857909090031175,4,https://www.facebook.com/events/857909090031175/?acontext=%7B%22event_action_history%22%3A[%7B%22mechanism%22%3A%22attachment%22%2C%22surface%22%3A%22newsfeed%22%7D]%2C%22ref_notif_type%22%3Anull%7D&__cft__[0]=AZb5s0kr5HRHL9-Jq4ktWU24MqzkFRymuVgzDQCV88NowUQ9x5LfVmZBaJlhAYfpoSkuHy5Gy9gFgp_KsPUu0x-IjZTAkI64s1TaM6SoqV276lWbCBjemZHZQgfsW_6DP60YRnN7vQG8elvuwB4uTWbDfXG7gsA5lTEUwIByfNkzmykzE7L8_vBj6EUqUFWoX_fMg9qIhjKH2mjW9TR8dFmMYruKghsd91fATFWbX7Wec_6wrE0RfUK22tqOPElPMTry-89qrHqsHGh2Ze6GY8H1Lk7uDvSVkFIJWdcGFmT1Eg&__tn__=H-R
facebook_page,alexander.asay.5,4,https://www.facebook.com/alexander.asay.5?__cft__[0]=AZZf0Tv5nkxvPMpIVaPm4XG6ipzGOGADVOj30hKoju1W_PN5fi3V9_joWILn5lcrtOiXj8QTQu5Le_6-RXlImNstVjeKNDTbO3n-212sKcj5IC8IDAVoCp4SXbu43BsYr7BBsm_esCVamccm0eeDPMJTZlW8g98maPuuqPUI9k5ST_ArDpmZXyP-yB9kA2xRmU7BZx-M-gTrdZho8j1z7SjOZLCrN1nQuCWVt3cZlkRNvg&__cft__[1]=AZYJwVudqtQnkxzHUdKWlS936mGayiV62P9P9wkvPK6tXMThFVOv43vHGvLKgquhE3ZKlIBrz5Iyp5wGglzwH9F8BozWXJwnkpwuMEVHXBYVoxtRj6ZJ8F6_AcM1RX_OuiD3u-dYrtfIM7rhyiQpgmenftXIQnNTL4Ni4FMqSbT6EBzFqDLEnrZB1uf6BJwPeDb9ffp9XB6SnTtmReqjImcf&__tn__=H-R
facebook_event,3056066984601223,4,https://www.facebook.com/events/3056066984601223/?__cft__[0]=AZYFjCs5WZig-kPjsMqbi7UWrddtDwhnQaCGfLn-qf6krugJ_B8e_u42goHA-sEnKKPwhFM2VpK3b2Hqc7yTRfSXAsbwwQq48dWjwbjPOCx8H8fFKnhZwdatLlcb0Y_bS_uYHaZi4APlU1nFuIZFpdCz3uaIjR74QaDd0f3Y36M6PVJ2jL7erNb3ckIeJIpnzcw-I2-Yy0ATom3Q9qE66fV0&__tn__=-UK-R
facebook_event,1615879589409078,3,https://www.facebook.com/events/1615879589409078/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22home%22%7D%2C%7B%22mechanism%22%3A%22attachment%22%2C%22surface%22%3A%22newsfeed%22%7D]%2C%22ref_notif_type%22%3Anull%7D&__cft__[0]=AZYVX_w7GykRK8PJmmqT4MbIr5jAbpUxLqNY8VaXWIUkRptXsCF_Td9ZMWbM-blCzRKXvsiQx2fSZ32LHKCqGkqEg0NvB7m7vKHPNyQC0Pt3bC3EbKHjprsyGwYvUS1EpwastVrWfDMJQBt0HKplNfhMIVAbGpwoU1sbtXdl15lmjKp66cF45EXOhWcRxku-D-kjSgQP3RSSZ3kMzTyx74St&__tn__=H-R
facebook_event,4249308658647813,3,https://www.facebook.com/events/4249308658647813/?__cft__[0]=AZZX6eT9dBjtqPv0hOuPXDNiUhNnF4JSYAZo2jjs6Gt-nP8oHOy3DdDtodxdmNHpxgHQlOc-SmoFzTK6DAKR29fp13XwnXaRdRzol52xbyn9x9iRbX3A97Xqh4O8QCO9vylGXufUOfQMW6igSqWOVXb9B1ryeursghcynNe7_Xk2S7xhOEUTnApwpf_Gu5vAOnZXnKXdaeM-fpOHM9_Wl1oC&__tn__=-UK-R
facebook_profile_id,61578367498282,3,https://www.facebook.com/profile.php?id=61578367498282&__cft__[0]=AZb5WJAWNF_THn9zrsKZ4cuzKGxHO0xsipGc2q3X23QJEYhZLzP2L2raJSl_OjhrGOige-Wq6CiDRVeNPfZIv2uUwn21ZlGIgodqfSvXyud4fpA4ZOGf97nMGoWLXQQRjvb_F77DCjdsPxPEMXHAJPxL59XwEVgFyImeeJs00dD2wCECrH_GLWWgJZVHIrvAAmExHltaxub-INihwuDumvzRpUJlZkZ72kVVtqx0Bs4INw&__tn__=-UC%2CP-y-R
facebook_page,dreamspiresymphony,3,https://www.facebook.com/dreamspiresymphony?__cft__[0]=AZatk9YpWMGXP38YWXH2j-ikaz2jw-JDqW8qrVDr2ACRRIh52Qj7Lk-trEu3PQmJhWv-2FNMW_5-9XIsGVdq-eGWJQFWsXqqRuXcnfX3KoJvjcJKZIIl0NNgTJ0GTo0pRRtHau8f3uMf4dIptRe1RBD_fBw8wILkw9NueulCJ1Vg2uZTYboI4bu-5KLqWbuCRojNggQBGRmyaUuprvHXKrewEgsvtRHb5TO0Ek8A8hyaaQ&__tn__=-UC%2CP-y-R
